AnimalID,Age,Sex,Genotype,Strain,ExpName,Housing,LightCycle,PISiteUser,SessionName,Image,Image_Description,Analysis_Name,Schedule_Name,Max_Number_Trials,Max_Schedule_Time,Date_Time,AVG_Blank Touch Latency,AVG_Correct Centre touch latency,AVG_Correct Reward Collection,AVG_Correct touch latency,AVG_End Summary - Blank Touches,AVG_End Summary - Centre ITI Touches,AVG_End Summary - Condition,AVG_End Summary - Corrects,AVG_End Summary - Left ITI Touches,AVG_End Summary - Omissions - Omission,AVG_End Summary - Right ITI Touches,AVG_Reward IR Breaks - Reward Beam Cnt,AVG_Screen IR Breaks - Screen IR Cnt,AVG_Tray entered - Cnt,AVG_Trial Analysis - Condition,AVG_Trial Analysis - Correct,AVG_Trial Analysis - Omissions - Omission,AVG_Trial Analysis - Time
EnF119m5,11_13     ,m,VAChT^flox/flox,VAChT^En1-Cre-flox/flox,OK_En1CreVAChTfx_Extinction,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Extinction_Training,,,Extinction Touch - Helena - DP,EXTINCTION TRAIN,30,750,2015-08-14 2:27:35 PM,4.351,4.564366666666668,1.0372666666666668,4.564366666666668,7,,323.263,30,,,,54,140,53,205.29783333333333,1,,205.29783333333333
EnF119m5,11_13     ,m,VAChT^flox/flox,VAChT^En1-Cre-flox/flox,OK_En1CreVAChTfx_Extinction,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Extinction_Training,,,Extinction Touch - Helena - DP,EXTINCTION TRAIN,30,750,2015-08-12 3:14:23 PM,3.6199999999999997,3.4921999999999995,1.2552333333333332,3.4921999999999995,6,,299.472,30,1,,,62,99,36,159.69006666666664,1,,159.69006666666667
EnF118m8,11_13     ,m, VAChT^En1-Cre-flox/flox,VAChT^En1-Cre-flox/flox,OK_En1CreVAChTfx_Extinction,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Extinction_Training,,,Extinction Touch - Helena - DP,EXTINCTION TRAIN,30,750,2015-08-07 2:20:44 PM,1.89025,6.879266666666665,1.0035333333333332,6.879266666666665,7,,391.586,30,1,,1,91,,39,227.00746666666666,1,,227.00746666666666
EnF118m8,11_13     ,m, VAChT^En1-Cre-flox/flox,VAChT^En1-Cre-flox/flox,OK_En1CreVAChTfx_Extinction,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Extinction_Training,,,Extinction Touch - Helena - DP,EXTINCTION TRAIN,30,750,2015-08-06 3:29:23 PM,9.752,3.9305999999999996,1.0615999999999999,3.9305999999999996,3,,304.869,30,,,,85,,33,175.90210000000005,1,,175.90210000000005
EnF119m3,11_13     ,m, VAChT^En1-Cre-flox/flox,VAChT^En1-Cre-flox/flox,OK_En1CreVAChTfx_Extinction,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Extinction_Training,,,Extinction Touch - Helena - DP,EXTINCTION TRAIN,30,750,2015-09-04 2:35:23 PM,2.2151,3.313633333333333,1.5068666666666668,3.313633333333333,10,,300.694,30,2,,4,37,95,31,167.84670000000003,1,,167.84670000000003
EnF125m2,11_13     ,m,VAChT^flox/flox,VAChT^En1-Cre-flox/flox,OK_En1CreVAChTfx_Extinction,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Extinction_Training,,,Extinction Touch - Helena - DP,EXTINCTION TRAIN,30,750,2015-08-27 3:06:39 PM,6.2625,7.354133333333332,2.316533333333334,7.354133333333332,45,,445.217,30,,,1,36,123,34,300.2378666666667,1,,300.2378666666667
EnF125m2,11_13     ,m,VAChT^flox/flox,VAChT^En1-Cre-flox/flox,OK_En1CreVAChTfx_Extinction,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Extinction_Training,,,Extinction Touch - Helena - DP,EXTINCTION TRAIN,30,750,2015-08-25 3:31:27 PM,8.076200000000002,17.1481,1.2591333333333334,17.1481,56,,707.382,30,,,1,46,186,52,494.9458,1,,494.9458
EnF121m6,11_13     ,m, VAChT^En1-Cre-flox/flox,VAChT^En1-Cre-flox/flox,OK_En1CreVAChTfx_Extinction,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Extinction_Training,,,Extinction Touch - Helena - DP,EXTINCTION TRAIN,30,750,2015-08-21 2:52:18 PM,2.2462999999999997,8.049299999999999,1.3707333333333334,8.049299999999999,32,3,437.648,30,,,1,38,117,39,272.9438333333333,1,,272.9438333333333
EnF126m2,11_13     ,m,VAChT^flox/flox,VAChT^En1-Cre-flox/flox,OK_En1CreVAChTfx_Extinction,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Extinction_Training,,,Extinction Touch - Helena - DP,EXTINCTION TRAIN,30,750,2015-08-19 2:47:39 PM,7.296428571428572,15.496566666666668,1.6856000000000002,15.496566666666668,22,,670.516,30,1,,,115,172,55,369.63280000000003,1,,369.63280000000003
EnF126m2,11_13     ,m,VAChT^flox/flox,VAChT^En1-Cre-flox/flox,OK_En1CreVAChTfx_Extinction,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Extinction_Training,,,Extinction Touch - Helena - DP,EXTINCTION TRAIN,30,750,2015-08-18 3:08:13 PM,3.8768888888888884,11.014866666666666,1.1701000000000001,11.014866666666666,15,,526.368,30,3,,,119,146,55,248.3413,1,,248.34130000000002
EnF126m2,11_13     ,m,VAChT^flox/flox,VAChT^En1-Cre-flox/flox,OK_En1CreVAChTfx_Extinction,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Extinction_Training,,,Extinction Touch - Helena - DP,EXTINCTION TRAIN,30,750,2015-08-17 2:08:38 PM,8.075,8.6755,1.1803666666666668,8.6755,9,,450.73,30,,,,83,92,48,311.50763333333333,1,,311.5076333333333
EnF119m5,11_13     ,m,VAChT^flox/flox,VAChT^En1-Cre-flox/flox,OK_En1CreVAChTfx_Extinction,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Extinction_Training,,,Extinction Touch - Helena - DP,EXTINCTION TRAIN,30,750,2015-08-11 3:39:32 PM,3.513,5.038899999999999,1.2523333333333333,5.038899999999999,5,,344.017,30,,,,100,122,39,185.4480666666667,1,,185.44806666666668
EnF116m6,11_13     ,m, VAChT^En1-Cre-flox/flox,VAChT^En1-Cre-flox/flox,OK_En1CreVAChTfx_Extinction,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Extinction_Training,,,Extinction Touch - Helena - DP,EXTINCTION TRAIN,30,750,2015-08-08 3:35:00 PM,1.1291428571428572,3.3330666666666664,1.0545333333333333,3.3330666666666664,10,1,286.826,30,1,,2,35,94,33,158.30033333333338,1,,158.30033333333338
EnF118m7,11_13     ,m,VAChT^flox/flox,VAChT^En1-Cre-flox/flox,OK_En1CreVAChTfx_Extinction,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Extinction_Training,,,Extinction Touch - Helena - DP,EXTINCTION TRAIN,30,750,2015-07-06 4:57:31 PM,4.5334166666666675,8.953133333333335,2.8363666666666663,8.953133333333335,34,,508.765,30,2,,1,42,239,45,343.30550000000005,1,,343.3055000000001
EnF122m4,11_13     ,m,VAChT^flox/flox,VAChT^En1-Cre-flox/flox,OK_En1CreVAChTfx_Extinction,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Extinction_Training,,,Extinction Touch - Helena - DP,EXTINCTION TRAIN,30,750,2015-07-03 4:52:23 PM,2.9335,8.972433333333333,1.4185,8.972433333333333,6,,466.972,30,1,,,64,136,36,222.9869,1,,222.9869
EnF119m3,11_13     ,m, VAChT^En1-Cre-flox/flox,VAChT^En1-Cre-flox/flox,OK_En1CreVAChTfx_Extinction,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Extinction_Training,,,Extinction Touch - Helena - DP,EXTINCTION TRAIN,30,750,2015-09-02 3:34:28 PM,1.8617500000000002,2.4661666666666666,1.7425000000000002,2.4661666666666666,14,3,281.46,30,7,,1,37,78,43,152.05769999999998,1,,152.05769999999998
