AnimalID,Age,Sex,GenoType,Strain,ExpName,Housing,LightCycle,PISiteUser,SessionName,Image,Image_Description,Analysis_Name,Schedule_Name,Max_Number_Trials,Max_Schedule_Time,Date_Time,CORRECT REWARD COLLECTION _1,CORRECT REWARD COLLECTION _2,CORRECT REWARD COLLECTION _3,CORRECT REWARD COLLECTION _4,CORRECT REWARD COLLECTION _5,CORRECT REWARD COLLECTION _6,CORRECT REWARD COLLECTION _7,CORRECT REWARD COLLECTION _8,CORRECT REWARD COLLECTION _9,CORRECT REWARD COLLECTION _10,CORRECT REWARD COLLECTION _11,CORRECT REWARD COLLECTION _12,CORRECT REWARD COLLECTION _13,CORRECT REWARD COLLECTION _14,CORRECT REWARD COLLECTION _15,CORRECT REWARD COLLECTION _16,CORRECT REWARD COLLECTION _17,CORRECT REWARD COLLECTION _18,CORRECT REWARD COLLECTION _19,CORRECT REWARD COLLECTION _20,CORRECT REWARD COLLECTION _21,CORRECT REWARD COLLECTION _22,CORRECT REWARD COLLECTION _23,CORRECT REWARD COLLECTION _24,CORRECT REWARD COLLECTION _25,CORRECT REWARD COLLECTION _26,CORRECT REWARD COLLECTION _27,CORRECT REWARD COLLECTION _28,CORRECT REWARD COLLECTION _29,CORRECT REWARD COLLECTION _30,CORRECT REWARD COLLECTION _31,CORRECT REWARD COLLECTION _32,CORRECT REWARD COLLECTION _33,CORRECT REWARD COLLECTION _34,CORRECT REWARD COLLECTION _35,CORRECT REWARD COLLECTION _36,CORRECT TOUCH LATENCY _1,CORRECT TOUCH LATENCY _2,CORRECT TOUCH LATENCY _3,CORRECT TOUCH LATENCY _4,CORRECT TOUCH LATENCY _5,CORRECT TOUCH LATENCY _6,CORRECT TOUCH LATENCY _7,CORRECT TOUCH LATENCY _8,CORRECT TOUCH LATENCY _9,CORRECT TOUCH LATENCY _10,CORRECT TOUCH LATENCY _11,CORRECT TOUCH LATENCY _12,CORRECT TOUCH LATENCY _13,CORRECT TOUCH LATENCY _14,CORRECT TOUCH LATENCY _15,CORRECT TOUCH LATENCY _16,CORRECT TOUCH LATENCY _17,CORRECT TOUCH LATENCY _18,CORRECT TOUCH LATENCY _19,CORRECT TOUCH LATENCY _20,CORRECT TOUCH LATENCY _21,CORRECT TOUCH LATENCY _22,CORRECT TOUCH LATENCY _23,CORRECT TOUCH LATENCY _24,CORRECT TOUCH LATENCY _25,CORRECT TOUCH LATENCY _26,CORRECT TOUCH LATENCY _27,CORRECT TOUCH LATENCY _28,CORRECT TOUCH LATENCY _29,CORRECT TOUCH LATENCY _30,CORRECT TOUCH LATENCY _31,CORRECT TOUCH LATENCY _32,CORRECT TOUCH LATENCY _33,CORRECT TOUCH LATENCY _34,CORRECT TOUCH LATENCY _35,CORRECT TOUCH LATENCY _36,END SUMMARY - % CORRECT _1,END SUMMARY - CONDITION _1,END SUMMARY - NO CORRECTION TRIALS _1,END SUMMARY - TRIALS COMPLETED _1,INCORRECT TOUCH LATENCY _1,INCORRECT TOUCH LATENCY _2,INCORRECT TOUCH LATENCY _3,INCORRECT TOUCH LATENCY _4,INCORRECT TOUCH LATENCY _5,INCORRECT TOUCH LATENCY _6,INCORRECT TOUCH LATENCY _7,INCORRECT TOUCH LATENCY _8,INCORRECT TOUCH LATENCY _9,INCORRECT TOUCH LATENCY _10,INCORRECT TOUCH LATENCY _11,INCORRECT TOUCH LATENCY _12,INCORRECT TOUCH LATENCY _13,INCORRECT TOUCH LATENCY _14,INCORRECT TOUCH LATENCY _15,INCORRECT TOUCH LATENCY _16,INCORRECT TOUCH LATENCY _17,INCORRECT TOUCH LATENCY _18,INCORRECT TOUCH LATENCY _19,INCORRECT TOUCH LATENCY _20,INCORRECT TOUCH LATENCY _21,INCORRECT TOUCH LATENCY _22,INCORRECT TOUCH LATENCY _23,INCORRECT TOUCH LATENCY _24,INCORRECT TOUCH LATENCY _25,INCORRECT TOUCH LATENCY _26,INCORRECT TOUCH LATENCY _27,INCORRECT TOUCH LATENCY _28,INCORRECT TOUCH LATENCY _29,INCORRECT TOUCH LATENCY _30,INCORRECT TOUCH LATENCY _31,INCORRECT TOUCH LATENCY _32,INCORRECT TOUCH LATENCY _33,INCORRECT TOUCH LATENCY _34,INCORRECT TOUCH LATENCY _35,INCORRECT TOUCH LATENCY _36,INCORRECT TOUCH LATENCY _37,INCORRECT TOUCH LATENCY _38,INCORRECT TOUCH LATENCY _39,INCORRECT TOUCH LATENCY _40,INCORRECT TOUCH LATENCY _41,INCORRECT TOUCH LATENCY _42,INCORRECT TOUCH LATENCY _43,INCORRECT TOUCH LATENCY _44,INCORRECT TOUCH LATENCY _45,INCORRECT TOUCH LATENCY _46,INCORRECT TOUCH LATENCY _47,INCORRECT TOUCH LATENCY _48,INCORRECT TOUCH LATENCY _49,INCORRECT TOUCH LATENCY _50,INCORRECT TOUCH LATENCY _51,INCORRECT TOUCH LATENCY _52,INCORRECT TOUCH LATENCY _53,INCORRECT TOUCH LATENCY _54,INCORRECT TOUCH LATENCY _55,INCORRECT TOUCH LATENCY _56,INCORRECT TOUCH LATENCY _57,INCORRECT TOUCH LATENCY _58,INCORRECT TOUCH LATENCY _59,INCORRECT TOUCH LATENCY _60,INCORRECT TOUCH LATENCY _61,INCORRECT TOUCH LATENCY _62,INCORRECT TOUCH LATENCY _63,INCORRECT TOUCH LATENCY _64,INCORRECT TOUCH LATENCY _65,INCORRECT TOUCH LATENCY _66,INCORRECT TOUCH LATENCY _67,INCORRECT TOUCH LATENCY _68,INCORRECT TOUCH LATENCY _69,INCORRECT TOUCH LATENCY _70,INCORRECT TOUCH LATENCY _71,INCORRECT TOUCH LATENCY _72,INCORRECT TOUCH LATENCY _73,INCORRECT TOUCH LATENCY _74,INCORRECT TOUCH LATENCY _75,INCORRECT TOUCH LATENCY _76,INCORRECT TOUCH LATENCY _77,INCORRECT TOUCH LATENCY _78,INCORRECT TOUCH LATENCY _79,INCORRECT TOUCH LATENCY _80,INCORRECT TOUCH LATENCY _81,INCORRECT TOUCH LATENCY _82,INCORRECT TOUCH LATENCY _83,INCORRECT TOUCH LATENCY _84,INCORRECT TOUCH LATENCY _85,CORRECT REWARD COLLECTION _37,CORRECT TOUCH LATENCY _37,INCORRECT TOUCH LATENCY _86,INCORRECT TOUCH LATENCY _87,INCORRECT TOUCH LATENCY _88,INCORRECT TOUCH LATENCY _89,CORRECT REWARD COLLECTION _38
Enf176m2,11_13     ,m,VAChT^flox/flox,VAChT^En1-Cre-flox/flox,OK_En1CreVAChTfx_PAL,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Mouse_dpal_spal,<img src ="../assets/task_images/800x600-left-diagonal-full-228x228.bmp" width='30' height='30' style='margin-top:15px;'/>;<img src ="../assets/task_images/800x600-right-diagonal-full-228x228.bmp" width='30' height='30' style='margin-top:15px;'/>;<img src ="../assets/task_images/800x600-vertical-full-228x228.bmp" width='30' height='30' style='margin-top:15px;'/>,,PAL Analysis,Mouse  dPAL SIMPLE v3,36,3600,01/16/17 8:51:24 AM,0.779,1.816,1.45,0.688,0.922,1.525,0.812,1.226,0.816,0.791,0.829,1.007,0.944,1.62,1.946,0.901,1.862,0.931,0.917,1.144,1.69,1.652,0.968,0.796,1.832,0.885,1.402,0.922,0.91,0.871,0.915,0.81,0.864,0.795,1.681,0.799,1.301,1.547,7.071,1.852,2.648,1.426,1.35,4.795,2.716,1.059,1.363,5.193,1.955,1.888,1.365,2.541,1.529,3.233,2.411,3.796,1.707,1.911,1.199,5.155,1.255,1.721,1.177,0.965,1.219,2.244,1.18,1.252,1.377,0.931,5.47,1.207,66.667,2015.104,30,36,2.657,1.01,1.193,2.494,1.38,1.932,1.806,3.402,2.192,3.351,5.652,2.988,0.918,1.369,1.543,3.2,2.813,1.09,2.382,1.199,2.39,1.624,1.136,2.084,1.594,3.208,1.071,1.158,1.257,6.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enf176m2,11_13     ,m,VAChT^flox/flox,VAChT^En1-Cre-flox/flox,OK_En1CreVAChTfx_PAL,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Mouse_dpal_spal,<img src ="../assets/task_images/800x600-left-diagonal-full-228x228.bmp" width='30' height='30' style='margin-top:15px;'/>;<img src ="../assets/task_images/800x600-right-diagonal-full-228x228.bmp" width='30' height='30' style='margin-top:15px;'/>;<img src ="../assets/task_images/800x600-vertical-full-228x228.bmp" width='30' height='30' style='margin-top:15px;'/>,,PAL Analysis,Mouse  dPAL SIMPLE v3,36,3600,01/17/17 7:47:27 AM,1.054,1.062,1.006,1.907,1.36,1.388,0.925,0.996,1.024,0.989,0.903,1.798,0.944,1.036,1.033,1.072,1.403,1.48,0.913,1.802,1.961,0.946,0.993,1.008,0.975,0.979,0.913,0.842,1.654,1.023,1.416,0.911,1.409,0.85,1.001,,1.619,1.474,1.232,1.44,1.135,1.301,1.399,1.39,2.187,1.329,1.253,2.141,1.691,2.054,1.488,2.355,1.908,7.736,3.404,2.247,1.44,2.434,2.033,1.765,1.541,1.83,3.411,2.888,5.028,3.517,5.232,1.393,2.413,2.191,1.829,,55.556,1981.27,34,36,2.591,3.098,1.548,3.822,2.488,2.881,2.368,2.325,3.34,3.626,1.291,4.619,1.446,1.448,5.065,2.846,2.78,1.275,2.137,5.578,1.793,2.15,1.567,1.924,1.596,2.182,1.538,6.613,2.919,1.441,2.014,1.207,5.045,1.456,5.363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enf176m2,11_13     ,m,VAChT^flox/flox,VAChT^En1-Cre-flox/flox,OK_En1CreVAChTfx_PAL,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Mouse_dpal_spal,<img src ="../assets/task_images/800x600-left-diagonal-full-228x228.bmp" width='30' height='30' style='margin-top:15px;'/>;<img src ="../assets/task_images/800x600-right-diagonal-full-228x228.bmp" width='30' height='30' style='margin-top:15px;'/>;<img src ="../assets/task_images/800x600-vertical-full-228x228.bmp" width='30' height='30' style='margin-top:15px;'/>,,PAL Analysis,Mouse  dPAL SIMPLE v3,36,3600,01/18/17 7:35:36 AM,1.104,0.824,0.844,1.808,1.186,0.872,1.008,1.498,0.89,1.375,0.816,1.043,1.066,0.82,0.84,0.868,1.043,0.982,1.072,1.063,0.934,1.25,1.219,1.107,1.492,0.859,1.321,0.84,1.026,1.173,1.339,1.004,1.203,2.23,0.923,0.816,1.223,1.328,1.404,1.927,2.522,1.547,1.572,1.584,1.587,5.28,1.085,1.012,2.19,2.269,1.875,2.23,1.66,1.384,2.579,1.276,1.352,2.698,1.08,1.052,5.231,4.321,4.306,2.297,4.019,1.729,2.328,3.279,2.06,2.321,1.071,4.066,61.111,1685.171,22,36,13.947,2.087,2.485,1.255,1.944,1.029,6.791,1.023,1.329,1.852,1.48,2.036,2.586,2.35,2.567,2.087,2.005,2.359,4.245,2.894,2.367,1.579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enf176m2,11_13     ,m,VAChT^flox/flox,VAChT^En1-Cre-flox/flox,OK_En1CreVAChTfx_PAL,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Mouse_dpal_spal,<img src ="../assets/task_images/800x600-left-diagonal-full-228x228.bmp" width='30' height='30' style='margin-top:15px;'/>;<img src ="../assets/task_images/800x600-right-diagonal-full-228x228.bmp" width='30' height='30' style='margin-top:15px;'/>;<img src ="../assets/task_images/800x600-vertical-full-228x228.bmp" width='30' height='30' style='margin-top:15px;'/>,,PAL Analysis,Mouse  dPAL SIMPLE v3,36,3600,01/19/17 9:56:06 AM,1.183,1.209,2.078,0.848,0.984,3.749,0.808,0.874,1.114,0.939,0.868,1.228,0.861,1.105,0.948,1.842,0.874,0.901,0.882,0.919,0.785,0.829,1.649,1.544,0.892,2.323,2.167,1.943,1.363,0.95,0.783,1.758,0.786,0.727,1.344,1.219,18.836,0.934,1.663,4.997,2.084,3.07,2.236,1.564,1.661,1.384,1.406,3.959,4.631,1.116,2.387,1.06,2.791,0.952,1.669,1.674,3.735,1.458,1.342,1.622,1.88,5.291,1.917,1.622,1.083,2.297,1.213,1.018,3.861,2.56,1.029,1.173,66.667,1558.335,20,36,2.122,1.144,1.602,3.851,3.945,1.319,1.474,1.505,1.374,1.668,1.25,1.516,2.028,1.181,2.701,1.985,1.672,3.649,1.666,1.114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enf176m2,11_13     ,m,VAChT^flox/flox,VAChT^En1-Cre-flox/flox,OK_En1CreVAChTfx_PAL,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Mouse_dpal_spal,<img src ="../assets/task_images/800x600-left-diagonal-full-228x228.bmp" width='30' height='30' style='margin-top:15px;'/>;<img src ="../assets/task_images/800x600-right-diagonal-full-228x228.bmp" width='30' height='30' style='margin-top:15px;'/>;<img src ="../assets/task_images/800x600-vertical-full-228x228.bmp" width='30' height='30' style='margin-top:15px;'/>,,PAL Analysis,Mouse  dPAL SIMPLE v3,36,3600,01/20/17 7:33:04 AM,0.876,1.473,0.851,0.983,0.924,0.898,0.85,1.421,0.814,1.02,0.848,0.885,0.767,1.274,1.716,0.858,0.81,0.791,1.373,0.891,0.803,0.855,0.828,0.841,1.217,0.815,2.129,1.204,0.964,0.914,1.194,1.095,0.926,1.173,0.802,,3.099,9.076,1.437,1.356,1.6,1.369,4.454,1.338,1.56,1.922,3.481,1.293,1.374,3.78,1.528,1.112,1.735,1.471,2.03,1.381,1.179,7.446,1.728,1.995,4.52,1.035,3.792,4.395,2.54,4.628,1.175,2.09,3.789,1.292,1.748,,58.333,1594.93,22,36,1.539,3.843,1.612,2.185,1.031,3.567,1.131,1.298,1.283,1.092,1.733,1.873,0.859,2.121,1.711,16.382,2.121,1.678,1.313,2.203,1.4,1.388,1.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enf176m2,11_13     ,m,VAChT^flox/flox,VAChT^En1-Cre-flox/flox,OK_En1CreVAChTfx_PAL,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Mouse_dpal_spal,<img src ="../assets/task_images/800x600-left-diagonal-full-228x228.bmp" width='30' height='30' style='margin-top:15px;'/>;<img src ="../assets/task_images/800x600-right-diagonal-full-228x228.bmp" width='30' height='30' style='margin-top:15px;'/>;<img src ="../assets/task_images/800x600-vertical-full-228x228.bmp" width='30' height='30' style='margin-top:15px;'/>,,PAL Analysis,Mouse  dPAL SIMPLE v3,36,3600,01/23/17 7:57:48 AM,0.753,0.706,1.091,0.756,0.821,0.992,0.734,0.872,0.789,0.818,0.734,1.119,1.096,1.718,1.161,0.905,1.086,1.022,0.867,0.766,1.482,1.108,0.932,0.977,0.79,0.833,0.865,1.119,0.868,1.188,2.024,0.778,1.798,1.026,1.45,,3.035,1.03,3.339,1.302,1.459,1.063,1.55,1.633,1.953,1.808,1.018,0.881,0.94,1.08,2.146,3.489,1.644,1.975,1.429,1.247,2.911,2.981,1.073,2.155,1.079,1.102,0.931,2.08,2.483,1.482,1.911,0.863,1.593,0.932,1.371,,52.778,1815.624,27,36,2.004,1.985,0.938,1.579,0.863,1.163,1.689,1.474,0.948,1.634,2.533,1.598,1.13,1.073,0.924,1.034,1.731,1.509,1.031,1.057,1.745,3.288,5.242,3.266,1.116,0.974,3.44,4.142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enf176m2,11_13     ,m,VAChT^flox/flox,VAChT^En1-Cre-flox/flox,OK_En1CreVAChTfx_PAL,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Mouse_dpal_spal,<img src ="../assets/task_images/800x600-left-diagonal-full-228x228.bmp" width='30' height='30' style='margin-top:15px;'/>;<img src ="../assets/task_images/800x600-right-diagonal-full-228x228.bmp" width='30' height='30' style='margin-top:15px;'/>;<img src ="../assets/task_images/800x600-vertical-full-228x228.bmp" width='30' height='30' style='margin-top:15px;'/>,,PAL Analysis,Mouse  dPAL SIMPLE v3,36,3600,01/24/17 7:53:02 AM,0.854,0.78,1.096,1.259,0.877,0.771,0.815,0.881,1.799,0.751,0.871,1.044,1.741,1.637,1.973,0.824,1.885,0.844,0.826,1.127,0.799,1.058,0.811,1.134,0.881,1.753,0.776,0.759,1.404,0.901,0.922,0.843,1.472,0.946,0.873,0.838,11.357,1.128,4.3,3.614,1.707,0.893,1.726,1.277,3.407,0.878,1.29,1.017,1.654,1.315,1.617,1.582,1.472,0.926,2.273,3.119,1.927,1.065,1.203,1.822,2.034,1.692,1.578,1,1.61,1.508,2.23,1.179,1.25,1.016,4.885,5.131,66.667,1534.537,19,36,1.967,0.878,1.404,2.351,1.341,1.229,1.14,1.3,3.88,1.223,1.584,2.953,1.631,1.398,0.868,1.343,1.159,0.956,2.538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enf176m2,11_13     ,m,VAChT^flox/flox,VAChT^En1-Cre-flox/flox,OK_En1CreVAChTfx_PAL,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Mouse_dpal_spal,<img src ="../assets/task_images/800x600-left-diagonal-full-228x228.bmp" width='30' height='30' style='margin-top:15px;'/>;<img src ="../assets/task_images/800x600-right-diagonal-full-228x228.bmp" width='30' height='30' style='margin-top:15px;'/>;<img src ="../assets/task_images/800x600-vertical-full-228x228.bmp" width='30' height='30' style='margin-top:15px;'/>,,PAL Analysis,Mouse  dPAL SIMPLE v3,36,3600,01/25/17 7:24:12 AM,0.896,0.868,0.986,0.9,0.88,0.826,0.913,0.786,0.857,0.818,0.743,0.783,0.877,1.51,1.184,1.053,0.976,0.812,1.83,1.087,1.191,0.837,0.89,1.371,0.869,1.521,1.093,1.022,0.886,0.918,1.415,0.79,0.765,0.819,0.774,,1.702,1.115,1.818,1.105,1.529,3.358,1.037,2.046,1.397,1.495,0.965,1.383,1.137,4.498,1.111,1.415,1.249,1.113,3.076,0.999,1.638,1.468,1.031,4.807,2.191,1.707,2.868,1.265,1.469,1.414,6.247,1.49,2.053,1.426,1.538,,58.333,1805.096,26,36,2.042,2.246,1.273,1.221,0.934,1.519,0.886,1.503,0.898,3.215,1.635,1.701,1.111,2.413,1.185,1.035,1.234,0.992,3.461,3.386,2.311,4.16,0.971,1.332,2.369,1.546,1.965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enf176m2,11_13     ,m,VAChT^flox/flox,VAChT^En1-Cre-flox/flox,OK_En1CreVAChTfx_PAL,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Mouse_dpal_spal,<img src ="../assets/task_images/800x600-left-diagonal-full-228x228.bmp" width='30' height='30' style='margin-top:15px;'/>;<img src ="../assets/task_images/800x600-right-diagonal-full-228x228.bmp" width='30' height='30' style='margin-top:15px;'/>;<img src ="../assets/task_images/800x600-vertical-full-228x228.bmp" width='30' height='30' style='margin-top:15px;'/>,,PAL Analysis,Mouse  dPAL SIMPLE v3,36,3600,01/26/17 9:57:36 AM,1.129,0.863,1.803,1.088,1.081,0.82,0.906,0.828,0.79,0.682,0.839,0.806,0.674,1.104,1.748,1.869,1.831,1.031,0.77,1.728,1.017,0.775,0.918,0.667,0.64,0.752,1.39,1.783,0.907,2.196,1.615,1.846,0.822,0.831,0.787,,12.516,9.096,3.414,1.808,1.006,1.195,1.351,2.096,1.311,1.561,0.934,1.532,2.021,1.328,1.15,1.774,0.814,4.367,1.193,1.006,3.031,1.043,0.993,4.58,1.325,2.46,2.846,1.691,0.973,4.874,0.945,1.879,1.603,1.322,1.567,,55.556,1878.419,27,36,1.768,1.431,1.245,1.148,0.888,1.675,1.312,4.34,3.396,0.992,1.244,1.118,1.042,3.336,1.053,1.557,1.574,6.656,2.05,1.248,2.107,1.238,1.357,2.004,0.825,1.288,1.599,1.422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enf176m2,11_13     ,m,VAChT^flox/flox,VAChT^En1-Cre-flox/flox,OK_En1CreVAChTfx_PAL,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Mouse_dpal_spal,<img src ="../assets/task_images/800x600-left-diagonal-full-228x228.bmp" width='30' height='30' style='margin-top:15px;'/>;<img src ="../assets/task_images/800x600-right-diagonal-full-228x228.bmp" width='30' height='30' style='margin-top:15px;'/>;<img src ="../assets/task_images/800x600-vertical-full-228x228.bmp" width='30' height='30' style='margin-top:15px;'/>,,PAL Analysis,Mouse  dPAL SIMPLE v3,36,3600,01/27/17 7:34:03 AM,1.127,0.762,0.837,0.794,2.019,0.77,1.043,0.753,0.716,0.882,1.71,0.851,0.657,0.998,1.752,0.776,1.385,1.762,1.176,0.803,1.056,0.848,0.754,1.63,0.775,0.838,0.751,0.733,0.85,1.281,0.765,0.832,0.98,0.806,0.991,,1.046,1.283,2.528,1.551,1.517,1.004,1.806,1.241,1.452,2.418,1.516,1.145,1.518,5.401,1.584,1.171,3.837,1.891,0.983,0.954,3.636,2.352,1.24,1.418,1.545,1.065,4.606,1.366,1.12,2.124,2.526,1.254,1.531,1.457,2.406,,63.889,1682.087,24,36,1.806,1.272,0.897,3.513,1.981,1.818,1.667,1.89,1.38,1.684,1.133,1.483,1.184,2.796,2.031,1.063,1.325,1.136,3.122,1.754,1.02,4.282,2.015,2.631,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
