AnimalID,Age,Sex,Genotype,Strain,ExpName,Housing,LightCycle,PISiteUser,SessionName,Image,Image_Description,Analysis_Name,Schedule_Name,Max_Number_Trials,Max_Schedule_Time,Date_Time,Stimulus_Duration,Intervention,AVG_Omissions - Total,AVG_Perseverative Correct - Total,AVG_Perseverative Incorrect - Total,AVG_Premature Responses - Total,AVG_Reward Collection Latency,AVG_Threshold - Accuracy %,AVG_Threshold - Condition,AVG_Threshold - Omission %,AVG_Threshold - Trials,AVG_Trial Analysis - Accuracy%,AVG_Trial Analysis - Correct,AVG_Trial Analysis - Correct Response Latency,AVG_Trial Analysis - Incorrect,AVG_Trial Analysis - Incorrect Response Latency,AVG_Trial Analysis - Omission,AVG_Trial Analysis - Omission%,AVG_Trial Analysis - Premature,AVG_Trial Analysis - Reward Collection Latency,AVG_Trial Analysis - Stimulus Duration
H912Bm7,3_6       ,m,VAChT^flox/flox,VAChT^D2-Cre-flox/flox,OK_D2CreVAChTfx_5Choice,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Training,,,Cam Mouse5C Touch Var1,5CSRTT_2s_Var1,50,3600,2015-03-31 2:38:39 PM,2000,First touchscreen task performed with the mice,12,2,,2,1.3641212121212123,86.8,1483.572,24,50,80.77083333333337,1,1.4015454545454542,1,0.8838000000000001,1,32.1490032,2,1.3641212121212123,2
H912Bm7,3_6       ,m,VAChT^flox/flox,VAChT^D2-Cre-flox/flox,OK_D2CreVAChTfx_5Choice,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Training,,,Cam Mouse5C Touch Var1,5CSRTT_2s_Var1,50,3600,2015-04-02 2:27:52 PM,2000,First touchscreen task performed with the mice,9,20,3,4,1.3096111111111108,87.8,1968.359,18,50,95.3625,1,1.4000555555555556,1,4.206,1,19.543898720000005,1,1.3096111111111108,2
H912Bm7,3_6       ,m,VAChT^flox/flox,VAChT^D2-Cre-flox/flox,OK_D2CreVAChTfx_5Choice,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Training,,,Cam Mouse5C Touch Var1,5CSRTT_2s_Var1,50,3600,2015-04-03 9:28:54 AM,2000,First touchscreen task performed with the mice,13,6,,4,1.3198285714285716,94.6,2249.712,26,50,94.95625000000001,1,1.4825428571428567,1,1.3635,1,31.533777,1,1.3198285714285716,2
H912Bm7,3_6       ,m,VAChT^flox/flox,VAChT^D2-Cre-flox/flox,OK_D2CreVAChTfx_5Choice,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Training,,,Cam Mouse5C Touch Var1,5CSRTT_2s_Var1,50,3600,2015-04-06 2:50:25 PM,2000,First touchscreen task performed with the mice,12,10,4,5,1.2507714285714282,92.1,1898.361,24,50,88.10416666666664,1,1.3450000000000002,1,2.5466666666666664,1,28.618386999999995,1,1.2507714285714282,2
H912Bm7,3_6       ,m,VAChT^flox/flox,VAChT^D2-Cre-flox/flox,OK_D2CreVAChTfx_5Choice,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Training,,,Cam Mouse5C Touch Var1,5CSRTT_2s_Var1,50,3600,2015-04-07 2:49:15 PM,2000,First touchscreen task performed with the mice,7,10,4,3,1.4360952380952388,97.7,2411.945,14,50,95.51800000000001,1,1.3700714285714288,1,1.373,1,15.32604510638298,1,1.4360952380952388,2
H912Bm7,3_6       ,m,VAChT^flox/flox,VAChT^D2-Cre-flox/flox,OK_D2CreVAChTfx_5Choice,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Training,,,Cam Mouse5C Touch Var1,5CSRTT_2s_Var1,50,3600,2015-04-08 3:11:40 PM,2000,First touchscreen task performed with the mice,8,15,4,2,1.487105263157895,90.5,1869.173,16,50,96.78999999999998,1,1.3264210526315785,1,2.62075,1,18.97971159183674,1,1.487105263157895,2
H912Bm7,3_6       ,m,VAChT^flox/flox,VAChT^D2-Cre-flox/flox,OK_D2CreVAChTfx_5Choice,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Training,,,Cam Mouse5C Touch Var1,5CSRTT_2s_Var1,50,3600,2015-04-09 2:36:28 PM,2000,First touchscreen task performed with the mice,6,13,1,1,1.361575,90.9,1483.556,12,50,84.81666666666665,1,1.2266499999999996,1,3.0955,1,24.700127800000004,1,1.361575,2
H912Bm7,3_6       ,m,VAChT^flox/flox,VAChT^D2-Cre-flox/flox,OK_D2CreVAChTfx_5Choice,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Training,,,Cam Mouse5C Touch Var1,5CSRTT_4s_Var1,50,3600,2015-03-05 2:24:32 PM,4000,First touchscreen task performed with the mice,10,5,3,15,1.3712500000000003,74.1,3600,27,37,70.51621621621621,1,1.9561,1,5.166571428571428,1,29.640512499999993,1.6666666666666667,1.3712500000000003,4
H912Bm7,3_6       ,m,VAChT^flox/flox,VAChT^D2-Cre-flox/flox,OK_D2CreVAChTfx_5Choice,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Training,,,Cam Mouse5C Touch Var1,5CSRTT_4s_Var1,50,3600,2015-03-06 2:30:30 PM,4000,First touchscreen task performed with the mice,11,4,4,8,1.9752307692307696,59.1,3600,33.3,33,61.40666666666666,1,2.535615384615384,1,1.4734444444444443,1,38.68561363636364,1.6,1.9752307692307696,4
H912Bm7,3_6       ,m,VAChT^flox/flox,VAChT^D2-Cre-flox/flox,OK_D2CreVAChTfx_5Choice,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Training,,,Cam Mouse5C Touch Var1,5CSRTT_4s_Var1,50,3600,2015-03-09 3:30:26 PM,4000,First touchscreen task performed with the mice,7,,,8,1.096222222222222,81.8,3600,24.1,29,91.96666666666668,1,2.036666666666667,1,2.189,1,34.14948689655172,1.3333333333333333,1.096222222222222,4
H912Bm7,3_6       ,m,VAChT^flox/flox,VAChT^D2-Cre-flox/flox,OK_D2CreVAChTfx_5Choice,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Training,,,Cam Mouse5C Touch Var1,5CSRTT_4s_Var1,50,3600,2015-03-10 5:14:57 PM,4000,First touchscreen task performed with the mice,11,1,3,6,1.2927499999999996,87.5,3600,25.6,43,83.29499999999997,1,2.187035714285714,1,2.3687500000000004,1,44.4919188372093,1.2,1.2927499999999996,4
H912Bm7,3_6       ,m,VAChT^flox/flox,VAChT^D2-Cre-flox/flox,OK_D2CreVAChTfx_5Choice,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Training,,,Cam Mouse5C Touch Var1,5CSRTT_4s_Var1,50,3600,2015-03-11 4:20:13 PM,4000,First touchscreen task performed with the mice,11,9,1,14,1.7854375,82.1,2896.121,22,50,76.96808510638299,1,2.05109375,1,3.0304285714285712,1,34.2850306,1.5555555555555556,1.7854375,4
H912Bm7,3_6       ,m,VAChT^flox/flox,VAChT^D2-Cre-flox/flox,OK_D2CreVAChTfx_5Choice,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Training,,,Cam Mouse5C Touch Var1,5CSRTT_4s_Var1,50,3600,2015-03-12 3:16:46 PM,4000,First touchscreen task performed with the mice,7,10,2,14,1.3549393939393939,76.7,2751.58,14,50,68.89000000000001,1,1.8233333333333337,1,2.3183000000000002,1,18.91509659574468,1.0833333333333333,1.3549393939393939,4
