AnimalID,Age,Sex,Genotype,Strain,ExpName,Housing,LightCycle,PISiteUser,SessionName,Image,Image_Description,Analysis_Name,Schedule_Name,Max_Number_Trials,Max_Schedule_Time,Date_Time,AVG_Correct Reward Collection,AVG_Correct touch latency,AVG_End Summary - % Correct,AVG_End Summary - Condition,AVG_End Summary - No Correction Trials,AVG_End Summary - Trials Completed,AVG_Incorrect Touch Latency
D2Vg3Fx36m9,3_6       ,m,VGLUT3^D2-Cre-flox/flox,VGLUT3^D2-Cre-flox/flox,OK_D2CreVGLUT3fx_PVD,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Reversal,<img src ="../assets/task_images/800x600-flag-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>;<img src ="../assets/task_images/800x600-marbles-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>,,PD Analysis,Mouse Pairwise Discrimination Reversal v3,30,3600,2015-11-12 5:33:44 PM,1.4398666666666669,3.9094999999999995,43.333,2463.743,46,30,3.4257173913043477
D2Vg3Fx36m9,3_6       ,m,VGLUT3^D2-Cre-flox/flox,VGLUT3^D2-Cre-flox/flox,OK_D2CreVGLUT3fx_PVD,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Reversal,<img src ="../assets/task_images/800x600-flag-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>;<img src ="../assets/task_images/800x600-marbles-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>,,PD Analysis,Mouse Pairwise Discrimination Reversal v3,30,3600,2015-11-13 4:19:37 PM,1.2690333333333335,3.1658,43.333,2420.719,31,30,4.1402580645161295
D2Vg3Fx36m9,3_6       ,m,VGLUT3^D2-Cre-flox/flox,VGLUT3^D2-Cre-flox/flox,OK_D2CreVGLUT3fx_PVD,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Reversal,<img src ="../assets/task_images/800x600-flag-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>;<img src ="../assets/task_images/800x600-marbles-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>,,PD Analysis,Mouse Pairwise Discrimination Reversal v3,30,3600,2015-11-16 4:35:54 PM,1.3041333333333334,3.2657000000000003,76.667,1343.994,13,30,2.3483076923076927
D2Vg3Fx36m9,3_6       ,m,VGLUT3^D2-Cre-flox/flox,VGLUT3^D2-Cre-flox/flox,OK_D2CreVGLUT3fx_PVD,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Reversal,<img src ="../assets/task_images/800x600-flag-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>;<img src ="../assets/task_images/800x600-marbles-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>,,PD Analysis,Mouse Pairwise Discrimination Reversal v3,30,3600,2015-11-17 4:15:28 PM,1.2926999999999997,4.383366666666666,80,1264.483,9,30,7.333222222222222
D2Vg3Fx36m9,3_6       ,m,VGLUT3^D2-Cre-flox/flox,VGLUT3^D2-Cre-flox/flox,OK_D2CreVGLUT3fx_PVD,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Reversal,<img src ="../assets/task_images/800x600-flag-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>;<img src ="../assets/task_images/800x600-marbles-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>,,PD Analysis,Mouse Pairwise Discrimination Reversal v3,30,3600,2015-11-18 4:47:24 PM,1.1285666666666667,3.3445000000000005,76.667,1271.862,9,30,4.089222222222222
D2Vg3Fx36m9,3_6       ,m,VGLUT3^D2-Cre-flox/flox,VGLUT3^D2-Cre-flox/flox,OK_D2CreVGLUT3fx_PVD,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Reversal,<img src ="../assets/task_images/800x600-flag-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>;<img src ="../assets/task_images/800x600-marbles-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>,,PD Analysis,Mouse Pairwise Discrimination Reversal v3,30,3600,2015-11-19 4:16:25 PM,0.9920333333333331,2.9716,93.333,1015.226,2,30,2.761
D2Vg3Fx36m9,3_6       ,m,VGLUT3^D2-Cre-flox/flox,VGLUT3^D2-Cre-flox/flox,OK_D2CreVGLUT3fx_PVD,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Reversal,<img src ="../assets/task_images/800x600-flag-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>;<img src ="../assets/task_images/800x600-marbles-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>,,PD Analysis,Mouse Pairwise Discrimination Reversal v3,30,3600,2015-11-20 4:35:41 PM,1.4509333333333332,3.8883666666666667,83.333,1139.24,5,30,4.558199999999999
D2Vg3Fx36m9,3_6       ,m,VGLUT3^D2-Cre-flox/flox,VGLUT3^D2-Cre-flox/flox,OK_D2CreVGLUT3fx_PVD,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Reversal,<img src ="../assets/task_images/800x600-flag-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>;<img src ="../assets/task_images/800x600-marbles-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>,,PD Analysis,Mouse Pairwise Discrimination Reversal v3,30,3600,2015-11-23 4:01:52 PM,1.2047333333333332,2.651266666666667,86.667,973.764,4,30,3.0995
D2Vg3Fx36m9,3_6       ,m,VGLUT3^D2-Cre-flox/flox,VGLUT3^D2-Cre-flox/flox,OK_D2CreVGLUT3fx_PVD,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Reversal,<img src ="../assets/task_images/800x600-flag-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>;<img src ="../assets/task_images/800x600-marbles-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>,,PD Analysis,Mouse Pairwise Discrimination Reversal v3,30,3600,2015-11-24 3:50:51 PM,1.2016666666666669,3.205399999999999,76.667,1132.751,8,30,4.02425
D2Vg3Fx36m9,3_6       ,m,VGLUT3^D2-Cre-flox/flox,VGLUT3^D2-Cre-flox/flox,OK_D2CreVGLUT3fx_PVD,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Reversal,<img src ="../assets/task_images/800x600-flag-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>;<img src ="../assets/task_images/800x600-marbles-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>,,PD Analysis,Mouse Pairwise Discrimination Reversal v3,30,3600,2015-11-25 4:19:22 PM,1.1103333333333334,3.0099333333333336,100,904.685,,30,
