AnimalID,Age,Sex,GenoType,Strain,ExpName,Housing,LightCycle,PISiteUser,SessionName,Image,Image_Description,Analysis_Name,Schedule_Name,Max_Number_Trials,Max_Schedule_Time,Date_Time,CORRECT REWARD COLLECTION _1,CORRECT REWARD COLLECTION _2,CORRECT REWARD COLLECTION _3,CORRECT REWARD COLLECTION _4,CORRECT REWARD COLLECTION _5,CORRECT REWARD COLLECTION _6,CORRECT REWARD COLLECTION _7,CORRECT REWARD COLLECTION _8,CORRECT REWARD COLLECTION _9,CORRECT REWARD COLLECTION _10,CORRECT REWARD COLLECTION _11,CORRECT REWARD COLLECTION _12,CORRECT REWARD COLLECTION _13,CORRECT REWARD COLLECTION _14,CORRECT REWARD COLLECTION _15,CORRECT REWARD COLLECTION _16,CORRECT REWARD COLLECTION _17,CORRECT REWARD COLLECTION _18,CORRECT REWARD COLLECTION _19,CORRECT REWARD COLLECTION _20,CORRECT REWARD COLLECTION _21,CORRECT REWARD COLLECTION _22,CORRECT REWARD COLLECTION _23,CORRECT REWARD COLLECTION _24,CORRECT REWARD COLLECTION _25,CORRECT REWARD COLLECTION _26,CORRECT REWARD COLLECTION _27,CORRECT REWARD COLLECTION _28,CORRECT REWARD COLLECTION _29,CORRECT TOUCH LATENCY _1,CORRECT TOUCH LATENCY _2,CORRECT TOUCH LATENCY _3,CORRECT TOUCH LATENCY _4,CORRECT TOUCH LATENCY _5,CORRECT TOUCH LATENCY _6,CORRECT TOUCH LATENCY _7,CORRECT TOUCH LATENCY _8,CORRECT TOUCH LATENCY _9,CORRECT TOUCH LATENCY _10,CORRECT TOUCH LATENCY _11,CORRECT TOUCH LATENCY _12,CORRECT TOUCH LATENCY _13,CORRECT TOUCH LATENCY _14,CORRECT TOUCH LATENCY _15,CORRECT TOUCH LATENCY _16,CORRECT TOUCH LATENCY _17,CORRECT TOUCH LATENCY _18,CORRECT TOUCH LATENCY _19,CORRECT TOUCH LATENCY _20,CORRECT TOUCH LATENCY _21,CORRECT TOUCH LATENCY _22,CORRECT TOUCH LATENCY _23,CORRECT TOUCH LATENCY _24,CORRECT TOUCH LATENCY _25,CORRECT TOUCH LATENCY _26,CORRECT TOUCH LATENCY _27,CORRECT TOUCH LATENCY _28,CORRECT TOUCH LATENCY _29,END SUMMARY - % CORRECT _1,END SUMMARY - CONDITION _1,END SUMMARY - NO CORRECTION TRIALS _1,END SUMMARY - TRIALS COMPLETED _1,INCORRECT TOUCH LATENCY _1,INCORRECT TOUCH LATENCY _2,INCORRECT TOUCH LATENCY _3,INCORRECT TOUCH LATENCY _4,INCORRECT TOUCH LATENCY _5,INCORRECT TOUCH LATENCY _6,INCORRECT TOUCH LATENCY _7,INCORRECT TOUCH LATENCY _8,INCORRECT TOUCH LATENCY _9,INCORRECT TOUCH LATENCY _10,INCORRECT TOUCH LATENCY _11,INCORRECT TOUCH LATENCY _12,INCORRECT TOUCH LATENCY _13,INCORRECT TOUCH LATENCY _14,INCORRECT TOUCH LATENCY _15,INCORRECT TOUCH LATENCY _16,INCORRECT TOUCH LATENCY _17,INCORRECT TOUCH LATENCY _18,INCORRECT TOUCH LATENCY _19,INCORRECT TOUCH LATENCY _20,INCORRECT TOUCH LATENCY _21,INCORRECT TOUCH LATENCY _22,INCORRECT TOUCH LATENCY _23,INCORRECT TOUCH LATENCY _24,INCORRECT TOUCH LATENCY _25,INCORRECT TOUCH LATENCY _26,INCORRECT TOUCH LATENCY _27,INCORRECT TOUCH LATENCY _28,INCORRECT TOUCH LATENCY _29,INCORRECT TOUCH LATENCY _30,INCORRECT TOUCH LATENCY _31,INCORRECT TOUCH LATENCY _32,INCORRECT TOUCH LATENCY _33,INCORRECT TOUCH LATENCY _34,INCORRECT TOUCH LATENCY _35,INCORRECT TOUCH LATENCY _36,INCORRECT TOUCH LATENCY _37,INCORRECT TOUCH LATENCY _38,INCORRECT TOUCH LATENCY _39,INCORRECT TOUCH LATENCY _40,INCORRECT TOUCH LATENCY _41,INCORRECT TOUCH LATENCY _42,INCORRECT TOUCH LATENCY _43,INCORRECT TOUCH LATENCY _44,INCORRECT TOUCH LATENCY _45,CORRECT REWARD COLLECTION _30,CORRECT TOUCH LATENCY _30,CORRECT REWARD COLLECTION _31,CORRECT TOUCH LATENCY _31,INCORRECT TOUCH LATENCY _46,INCORRECT TOUCH LATENCY _47,INCORRECT TOUCH LATENCY _48,INCORRECT TOUCH LATENCY _49,INCORRECT TOUCH LATENCY _50,INCORRECT TOUCH LATENCY _51,INCORRECT TOUCH LATENCY _52,INCORRECT TOUCH LATENCY _53,INCORRECT TOUCH LATENCY _54,INCORRECT TOUCH LATENCY _55,INCORRECT TOUCH LATENCY _56,INCORRECT TOUCH LATENCY _57,INCORRECT TOUCH LATENCY _58,INCORRECT TOUCH LATENCY _59,INCORRECT TOUCH LATENCY _60,INCORRECT TOUCH LATENCY _61,INCORRECT TOUCH LATENCY _62,INCORRECT TOUCH LATENCY _63,INCORRECT TOUCH LATENCY _64,INCORRECT TOUCH LATENCY _65,INCORRECT TOUCH LATENCY _66,INCORRECT TOUCH LATENCY _67,INCORRECT TOUCH LATENCY _68,INCORRECT TOUCH LATENCY _69,INCORRECT TOUCH LATENCY _70,INCORRECT TOUCH LATENCY _71,INCORRECT TOUCH LATENCY _72,INCORRECT TOUCH LATENCY _73,INCORRECT TOUCH LATENCY _74,INCORRECT TOUCH LATENCY _75,INCORRECT TOUCH LATENCY _76,INCORRECT TOUCH LATENCY _77,INCORRECT TOUCH LATENCY _78,INCORRECT TOUCH LATENCY _79,INCORRECT TOUCH LATENCY _80,INCORRECT TOUCH LATENCY _81,INCORRECT TOUCH LATENCY _82,INCORRECT TOUCH LATENCY _83,INCORRECT TOUCH LATENCY _84,INCORRECT TOUCH LATENCY _85,INCORRECT TOUCH LATENCY _86,INCORRECT TOUCH LATENCY _87,INCORRECT TOUCH LATENCY _88,INCORRECT TOUCH LATENCY _89,INCORRECT TOUCH LATENCY _90,INCORRECT TOUCH LATENCY _91,INCORRECT TOUCH LATENCY _92,INCORRECT TOUCH LATENCY _93,INCORRECT TOUCH LATENCY _94,INCORRECT TOUCH LATENCY _95,INCORRECT TOUCH LATENCY _96,INCORRECT TOUCH LATENCY _97,INCORRECT TOUCH LATENCY _98,INCORRECT TOUCH LATENCY _99,INCORRECT TOUCH LATENCY _100,INCORRECT TOUCH LATENCY _101,INCORRECT TOUCH LATENCY _102,INCORRECT TOUCH LATENCY _103,INCORRECT TOUCH LATENCY _104,INCORRECT TOUCH LATENCY _105,INCORRECT TOUCH LATENCY _106,INCORRECT TOUCH LATENCY _107,INCORRECT TOUCH LATENCY _108,INCORRECT TOUCH LATENCY _109,INCORRECT TOUCH LATENCY _110,INCORRECT TOUCH LATENCY _111,INCORRECT TOUCH LATENCY _112,INCORRECT TOUCH LATENCY _113,INCORRECT TOUCH LATENCY _114,INCORRECT TOUCH LATENCY _115,INCORRECT TOUCH LATENCY _116,INCORRECT TOUCH LATENCY _117
ires51m7,3_6       ,m,VGLUT3^ChAT-IRES-flox/flox,VGLUT3^ChAT-IRES-flox/flox,OK_ChATIRESVGLUT3fx_PVD,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Reversal,<img src ="../assets/task_images/800x600-flag-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>;<img src ="../assets/task_images/800x600-marbles-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>,,PD Analysis,Mouse Pairwise Discriminationv3,30,3600,2015-11-13 6:00:38 PM,1.055,0.805,0.805,2.243,0.739,0.76,0.857,0.769,0.698,0.867,0.746,0.703,0.7,0.643,0.742,0.768,0.778,0.672,0.744,0.656,0.656,0.818,1.133,0.833,0.777,0.857,0.841,0.727,0.744,5.322,12.79,3.858,6.024,2.807,4.489,6.936,3.409,2.949,2.357,1.449,2.117,3.155,2.064,4.334,3.078,1.08,1.61,1.442,0.934,2.55,1.217,2.662,1.004,1.842,0.924,2.759,1.405,2.162,26.667,2313.511,44,30,2.44,3.539,4.308,8.391,3.733,1.049,1.268,2.64,5.273,2.18,1.71,4.539,2.315,5.05,2.43,4.333,2.382,1.625,1.372,1.741,1.589,1.96,1.744,1.34,1.091,2.867,4.303,1.414,3.046,0.968,1.507,1.946,2.389,2.508,3.555,3.52,3.438,2.099,2.204,0.978,1.111,1.072,1.672,1.645,1.073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ires51m7,3_6       ,m,VGLUT3^ChAT-IRES-flox/flox,VGLUT3^ChAT-IRES-flox/flox,OK_ChATIRESVGLUT3fx_PVD,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Reversal,<img src ="../assets/task_images/800x600-flag-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>;<img src ="../assets/task_images/800x600-marbles-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>,,PD Analysis,Mouse Pairwise Discriminationv3,30,3600,2015-11-16 6:20:18 PM,0.703,0.735,0.855,1.779,0.736,0.627,0.712,0.759,0.935,0.782,0.725,0.71,0.773,0.696,0.805,0.745,0.767,0.699,1.099,0.776,0.708,0.728,0.729,0.764,0.64,0.677,0.706,0.663,0.698,3.977,1.325,1.937,5.205,0.835,2.04,4.877,2.389,1.279,1.171,4.008,4.101,0.819,1.868,2.688,0.993,1.487,3.724,3.568,3.749,1.185,2.688,1.166,1.016,2.917,2.155,1.766,1.833,4.342,46.667,1646.775,25,30,2.051,2.813,5.098,0.888,4.013,1.132,3.389,7.068,5.713,1.593,1.056,1.578,2.7,2.998,1.997,4.049,2.929,2.726,1.151,0.937,0.809,1.027,1.08,3.25,1.888,,,,,,,,,,,,,,,,,,,,,0.804,1.261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ires51m7,3_6       ,m,VGLUT3^ChAT-IRES-flox/flox,VGLUT3^ChAT-IRES-flox/flox,OK_ChATIRESVGLUT3fx_PVD,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Reversal,<img src ="../assets/task_images/800x600-flag-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>;<img src ="../assets/task_images/800x600-marbles-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>,,PD Analysis,Mouse Pairwise Discriminationv3,30,3600,2015-11-17 5:54:27 PM,0.933,0.725,0.734,0.776,0.8,0.76,0.809,0.769,0.85,0.733,0.747,0.735,0.776,0.624,0.964,0.675,0.637,0.822,0.743,0.733,0.708,0.682,0.877,0.724,0.724,1.286,0.91,0.698,0.767,4.892,2.334,1.904,2.597,1.102,2.27,1.26,1.609,1.099,1.378,1.044,1.536,0.872,2.383,1.579,2.722,2.028,1.303,2.11,1.62,1.276,1.588,2.005,1.446,2.359,1.434,1.233,2.663,2.414,60,1444.508,19,30,8.777,1.093,0.963,1.686,1.335,0.93,1.843,2.018,4.631,2.048,1.143,1.759,1.616,1.225,0.827,1.801,1.888,2.1,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,0.81,0.912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ires51m7,3_6       ,m,VGLUT3^ChAT-IRES-flox/flox,VGLUT3^ChAT-IRES-flox/flox,OK_ChATIRESVGLUT3fx_PVD,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Reversal,<img src ="../assets/task_images/800x600-flag-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>;<img src ="../assets/task_images/800x600-marbles-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>,,PD Analysis,Mouse Pairwise Discriminationv3,30,3600,2015-11-18 6:40:43 PM,0.659,0.809,0.828,4.817,0.68,0.677,0.837,0.724,0.768,0.654,0.668,0.788,0.785,0.736,0.697,1.079,0.757,0.807,0.706,0.713,0.727,0.998,0.906,0.815,0.747,0.707,1.012,0.639,0.73,5.57,1.702,2.173,4.993,1.95,1.395,1.764,1.122,2.452,3.244,1.717,1.376,2.662,3.216,1.332,0.973,1.71,1.209,1.605,1.444,0.944,0.823,0.844,1.004,0.741,1.671,1.697,1.846,1.47,56.667,1412.491,21,30,2.304,1.568,1.859,2.657,2.123,1.355,1.575,1.865,1.964,1.036,0.955,1.976,1.166,1.203,1.385,1.742,1.603,1.108,0.805,1.545,2.042,,,,,,,,,,,,,,,,,,,,,,,,,1.024,0.812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ires51m7,3_6       ,m,VGLUT3^ChAT-IRES-flox/flox,VGLUT3^ChAT-IRES-flox/flox,OK_ChATIRESVGLUT3fx_PVD,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Reversal,<img src ="../assets/task_images/800x600-flag-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>;<img src ="../assets/task_images/800x600-marbles-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>,,PD Analysis,Mouse Pairwise Discriminationv3,30,3600,2015-11-19 5:54:33 PM,0.714,0.771,0.832,0.911,0.863,0.96,0.817,1.017,0.787,0.711,1.945,0.893,0.973,0.785,0.845,0.797,0.864,0.85,1.053,0.912,0.834,1.208,0.853,1.017,1.055,1.197,0.832,0.819,1.185,1.496,3.796,0.995,1.27,1.791,1.138,1.074,1.972,1.646,2.103,1.642,1.234,1.52,1.824,1.5,0.997,0.988,0.966,1.823,1.228,0.962,1.268,1.508,0.974,1.195,2.179,1.243,1.002,1.01,56.667,1430.5,14,30,1.183,2.284,0.995,1.862,1.79,2.087,0.914,1.008,1.156,1.021,1.582,1.774,1.077,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.073,1.228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ires51m7,3_6       ,m,VGLUT3^ChAT-IRES-flox/flox,VGLUT3^ChAT-IRES-flox/flox,OK_ChATIRESVGLUT3fx_PVD,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Reversal,<img src ="../assets/task_images/800x600-flag-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>;<img src ="../assets/task_images/800x600-marbles-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>,,PD Analysis,Mouse Pairwise Discriminationv3,30,3600,2015-11-20 6:04:04 PM,1.483,1.109,0.9,0.78,0.775,0.832,0.839,1.113,0.867,0.952,0.867,0.922,0.778,0.769,0.983,0.762,0.853,0.828,0.94,1.386,1.047,0.91,0.928,0.879,0.818,0.826,1.002,0.901,0.974,2.614,1.684,0.941,1.429,0.925,0.749,0.985,0.77,1.413,0.748,1.337,1.387,1.267,0.878,2.142,0.853,0.889,1.258,0.987,1.426,1.311,0.919,0.836,0.996,0.943,0.755,1.387,1.052,0.901,73.333,1163.682,11,30,3.458,1.345,6.265,0.708,1.265,1.186,1.943,1.221,1.773,2.093,1.281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.771,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ires51m7,3_6       ,m,VGLUT3^ChAT-IRES-flox/flox,VGLUT3^ChAT-IRES-flox/flox,OK_ChATIRESVGLUT3fx_PVD,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Reversal,<img src ="../assets/task_images/800x600-flag-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>;<img src ="../assets/task_images/800x600-marbles-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>,,PD Analysis,Mouse Pairwise Discriminationv3,30,3600,2015-11-23 10:38:54 PM,0.726,0.705,0.765,0.674,0.863,0.875,0.865,0.827,0.883,0.808,0.904,0.905,0.925,1.014,0.89,0.883,0.86,1.696,0.932,0.857,0.878,1.309,0.824,0.791,0.956,0.884,0.987,1.042,0.978,0.984,0.746,0.771,0.795,0.988,1.664,0.82,1.65,7.023,1.545,1.066,0.791,0.833,1.563,1.162,1.047,1.358,0.936,1.183,1.474,1.067,2.176,0.866,1.156,1.367,1.005,1.287,0.866,1.376,80,974.673,7,30,2.466,1.621,1.343,0.978,1.099,1.438,1.664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.951,1.257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ires51m7,3_6       ,m,VGLUT3^ChAT-IRES-flox/flox,VGLUT3^ChAT-IRES-flox/flox,OK_ChATIRESVGLUT3fx_PVD,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Reversal,<img src ="../assets/task_images/800x600-flag-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>;<img src ="../assets/task_images/800x600-marbles-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>,,PD Analysis,Mouse Pairwise Discriminationv3,30,3600,2015-11-24 10:23:07 PM,0.91,0.851,1.071,0.86,0.881,0.947,1.004,0.935,0.95,1.218,0.862,0.901,1.058,0.864,1,0.96,1.01,0.951,0.937,0.89,0.939,0.954,1.643,0.837,1.219,0.97,1.199,0.999,0.979,14.026,8.711,8.629,1.134,1.869,2.091,0.813,2.322,1.227,0.851,1.427,0.9,0.966,0.903,1.243,1.114,1.484,1.717,0.998,1.418,1.874,0.986,1.245,1.741,1.699,1.807,1.006,0.833,0.969,96.667,846.027,1,30,1.558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.963,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ires51m7,3_6       ,m,VGLUT3^ChAT-IRES-flox/flox,VGLUT3^ChAT-IRES-flox/flox,OK_ChATIRESVGLUT3fx_PVD,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Reversal,<img src ="../assets/task_images/800x600-flag-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>;<img src ="../assets/task_images/800x600-marbles-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>,,PD Analysis,Mouse Pairwise Discriminationv3,30,3600,2015-11-25 10:49:20 PM,0.979,0.836,0.789,0.814,0.972,1.065,0.98,0.903,2.588,0.806,0.879,0.965,0.949,0.941,1.024,1.224,1.66,0.983,0.782,0.929,1.046,0.96,1.072,0.947,0.998,0.922,0.926,0.904,0.886,1.274,2.191,2.383,1.942,1.261,1.13,1.617,1.272,1.073,0.994,1.787,1.402,1.059,0.946,1.217,1.237,0.924,1.071,0.935,1.837,1.013,0.883,1.108,0.972,1.029,1.24,1.002,0.86,1.053,96.667,804.519,1,30,2.222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.819,1.353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ires51m7,3_6       ,m,VGLUT3^ChAT-IRES-flox/flox,VGLUT3^ChAT-IRES-flox/flox,OK_ChATIRESVGLUT3fx_PVD,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Reversal,<img src ="../assets/task_images/800x600-flag-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>;<img src ="../assets/task_images/800x600-marbles-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>,,PD Analysis,Mouse Pairwise Discriminationv3,30,3600,2015-11-26 11:22:51 PM,0.698,0.847,0.915,1.051,0.966,0.843,0.936,1.345,0.898,0.87,0.883,0.936,1.007,0.791,0.818,0.911,0.84,0.863,0.849,0.937,1.021,0.869,1.413,0.912,0.964,0.864,0.94,0.863,1.458,2.499,1.359,1.194,1.122,1.174,0.777,1.336,1.032,1.39,1.059,0.83,1.556,1.154,1.012,0.801,1.076,0.953,1.412,0.912,0.776,0.866,0.92,0.797,0.961,1.921,1.031,0.942,0.972,0.854,96.667,761.578,1,30,1.674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.933,0.846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
